datetime,uk_negativity,uk_neutrality,uk_positivity,uk_compound,ru_negativity,ru_neutrality,ru_positivity,ru_compound,fighting
2022-04-12,0.032625,0.967375,0.0,-0.11932499999999999,0.07242857142857143,0.8810357142857143,0.0465,-0.5245107142857143,1
2022-04-13,0.065425,0.921575,0.0129,-0.33528,0.07707142857142857,0.8564285714285714,0.06635714285714285,-0.41026428571428575,1
2022-04-15,0.09541666666666666,0.86875,0.035833333333333335,-0.6078916666666666,,,,,1
2022-04-16,0.14606060606060606,0.8155454545454546,0.038181818181818185,-0.8239242424242423,,,,,1
2022-04-17,0.13136170212765957,0.8340851063829787,0.0345531914893617,-0.5848191489361702,,,,,1
2022-04-18,0.1286875,0.8643125,0.006999999999999999,-0.81725,,,,,1
2022-04-19,0.12789473684210528,0.8272631578947368,0.04484210526315789,-0.5148894736842106,,,,,1
2022-04-20,0.0415,0.914,0.044,-0.00714999999999999,,,,,1
2022-04-21,0.033,0.913,0.054,0.296,,,,,1
2022-05-02,0.144,0.835,0.021,-0.87,0.068625,0.890375,0.04125,-0.3772875,1
2022-05-03,0.06133333333333333,0.9216666666666666,0.017,-0.15133333333333335,0.04375,0.8835,0.0725,-0.15302500000000002,1
2022-05-04,0.07056060606060606,0.8778484848484849,0.05178787878787879,-0.028831818181818174,0.09379166666666666,0.8595833333333333,0.04670833333333333,-0.6434583333333334,1
2022-05-05,0.10039999999999999,0.8240999999999999,0.07586999999999999,-0.113596,0.07144791666666667,0.8694791666666667,0.058979166666666666,-0.12955,1
2022-05-06,0.09578688524590163,0.8610573770491804,0.043073770491803276,-0.42618688524590165,0.09992307692307693,0.8427820512820512,0.057346153846153845,-0.4199576923076923,1
2022-05-07,0.14718787878787878,0.8280000000000001,0.02466060606060606,-0.6833939393939394,0.07695744680851063,0.8792765957446809,0.043787234042553184,-0.4263191489361702,1
2022-05-08,0.1571566265060241,0.8055301204819276,0.0373855421686747,-0.7681,0.08759420289855073,0.8553913043478261,0.056999999999999995,-0.46621304347826087,1
